,Company,2020 Rating,Total Board,# of women,% of Women,Sector,State,City,Company_clean
958,India Globalization Capital Inc.,,3,0,0%,Basic Materials,Maryland,Bethesda,india globalization capital
959,INFINERA Corp,,8,0,0%,Technology,California,SUNNYVALE,infinera
960,INFINITY PROPERTY & CASUALTY CORP,,9,2,22%,,,BIRMINGHAM,infinity property  casualty
961,Infoblox Inc.,,7,1,14%,Technology,California,Santa Clara,infoblox
962,Information Services Group Inc.,,6,2,33%,,,STAMFORD,information services group
963,InfraREIT Inc.,,9,3,33%,,,DALLAS,infrareit
964,Ingersoll-Rand plc,,10,2,20%,Industrials,,SWORDS,ingersollrand plc
965,Ingevity Corp,,7,1,14%,,,NORTH CHARLESTON,ingevity
966,INGLES MARKETS INC,,8,2,25%,Consumer Defensive,North Carolina,BLACK MOUNTAIN,ingles markets
967,Ingram Micro Inc.,,10,3,30%,Technology,California,Irvine,ingram micro
968,Ingredion Inc,,10,4,40%,Consumer Defensive,Illinois,WESTCHESTER,ingredion
969,INNERWORKINGS INC,,7,2,29%,,,CHICAGO,innerworkings
970,Innophos Holdings Inc.,,8,3,38%,,,CRANBURY,innophos holdings
971,INNOSPEC INC.,,7,0,0%,,,ENGLEWOOD,innospec
972,Innoviva Inc.,,7,2,29%,Healthcare,California,BRISBANE,innoviva
973,Inogen Inc,,8,1,13%,,,GOLETA,inogen
974,Inovalon Holdings Inc.,,6,1,17%,,,BOWIE,inovalon holdings
975,INOVIO PHARMACEUTICALS INC.,,8,0,0%,,,PLYMOUTH MEETING,inovio pharmaceuticals
976,INPHI Corp,,9,1,11%,Technology,California,SANTA CLARA,inphi
977,INSIGHT ENTERPRISES INC,,9,2,22%,Technology,Arizona,TEMPE,insight enterprises
978,INSMED Inc,,8,1,13%,Healthcare,New Jersey,BRIDGEWATER,insmed
979,INSPERITY INC.,,9,2,22%,Industrials,Texas,KINGWOOD,insperity
980,Installed Building Products Inc.,,9,2,22%,,,COLUMBUS,installed building products
981,INSTEEL INDUSTRIES INC,,5,0,0%,,,MOUNT AIRY,insteel industries
982,INSTRUCTURE INC,,7,1,14%,,,SALT LAKE CITY,instructure
983,INSULET CORP,,8,3,38%,Healthcare,Massachusetts,BILLERICA,insulet
984,Insys Therapeutics Inc.,,7,0,0%,,,CHANDLER,insys therapeutics
985,Integer Holdings Corp,,9,2,22%,,,FRISCO,integer holdings
986,INTEGRA LIFESCIENCES HOLDINGS CORP,,9,1,11%,,,PLAINSBORO,integra lifesciences holdings
987,INTEGRATED DEVICE TECHNOLOGY INC,,7,0,0%,Technology,California,SAN JOSE,integrated device technology
988,Intel Corporation,,12,2,17%,Technology,California,SANTA CLARA,intel
989,Intellia Therapeutics Inc.,,6,1,17%,,,CAMBRIDGE,intellia therapeutics
990,INTELSAT S.A.,,7,0,0%,,,LUXEMBOURG,intelsat sa
991,INTER PARFUMS INC,,9,0,0%,,,NEW YORK,inter parfums
992,Interactive Brokers Group Inc.,,8,0,0%,Financial Services,Connecticut,GREENWICH,interactive brokers group
993,INTERCEPT PHARMACEUTICALS INC,,9,0,0%,,,NEW YORK,intercept pharmaceuticals
994,Intercontinental Exchange Inc.,,11,3,27%,Financial Services,Georgia,ATLANTA,intercontinental exchange
995,InterDigital Inc.,,9,2,22%,,,WILMINGTON,interdigital
996,INTERFACE INC,,10,2,20%,,,ATLANTA,interface
997,Intermolecular Inc.,,7,0,0%,Technology,California,San Jose,intermolecular
998,Internap Corp,,7,2,29%,,,ATLANTA,internap
999,INTERNATIONAL BANCSHARES CORP,,9,1,11%,,,LAREDO,international bancshares
1000,INTERNATIONAL BUSINESS MACHINES CORP,,13,3,23%,Technology,New York,ARMONK,international business machines
1001,INTERNATIONAL FLAVORS & FRAGRANCES INC,,11,3,27%,Basic Materials,New York,NEW YORK,international flavors  fragrances
1002,INTERNATIONAL PAPER CO /NEW/,,12,2,17%,Basic Materials,Tennessee,MEMPHIS,international paper new
1003,INTERNATIONAL SEAWAYS INC.,,8,1,13%,,,NEW YORK,international seaways
1004,INTERNATIONAL SPEEDWAY CORP,,11,3,27%,Consumer Cyclical,Florida,DAYTONA BEACH,international speedway
1005,INTERPUBLIC GROUP OF COMPANIES INC.,,10,3,30%,Consumer Cyclical,New York,NEW YORK,interpublic group ofmpanies
1006,Intersect ENT Inc.,,7,2,29%,,,MENLO PARK,intersect ent
1007,Intersections Inc.,,8,0,0%,Industrials,Virginia,Chantilly,intersections
1008,Intersil Corporation,,7,1,14%,Technology,California,Milpitas,intersil
1009,Intertape Polymer Group,,9,1,11%,Consumer Cyclical,Florida,Sarasota,intertape polymer group
1010,Interval Leisure Group,,13,2,15%,Consumer Cyclical,Florida,Miami,interval leisure group
1011,INTEVAC INC,,6,0,0%,,,SANTA CLARA,intevac
1012,INTL FCSTONE INC.,,9,0,0%,Financial Services,New York,NEW YORK,intl fcstone
1013,Intra-Cellular Therapies Inc.,,6,1,17%,,,NEW YORK,intracellular therapies
1014,Intrawest Resorts Holdings Inc.,,7,0,0%,,,DENVER,intrawest resorts holdings
1015,Intrepid Potash Inc.,,6,0,0%,Basic Materials,Colorado,DENVER,intrepid potash
1016,INTREXON CORP,,9,1,11%,Healthcare,Maryland,GERMANTOWN,intrexon
1017,INTUIT INC,,9,3,33%,Technology,California,MOUNTAIN VIEW,intuit
1018,INTUITIVE SURGICAL INC,,9,2,22%,Healthcare,California,SUNNYVALE,intuitive surgical
1019,INVACARE CORP,,7,1,14%,Healthcare,Ohio,ELYRIA,invacare
1020,InvenSense Inc.,,8,1,13%,Technology,California,San Jose,invensense
1021,Invesco Ltd.,,9,2,22%,Financial Services,Georgia,ATLANTA,invesco
1022,Invesco Mortgage Capital Inc.,,8,2,25%,,,ATLANTA,invesco mortgage capital
1023,INVESTMENT TECHNOLOGY GROUP INC,,8,0,0%,,,NEW YORK,investment technology group
1024,Investors Bancorp Inc.,,12,2,17%,,,SHORT HILLS,investors bancorp
1025,INVESTORS REAL ESTATE TRUST,,9,1,11%,,,MINOT,investors real estate trust
1026,INVESTORS TITLE CO,,9,0,0%,,,CHAPEL HILL,investors title
1027,Invitae Corp,,5,1,20%,,,SAN FRANCISCO,invitae
1028,Invitation Homes Inc.,,11,1,9%,,,DALLAS,invitation homes
1029,IONIS PHARMACEUTICALS INC,,8,1,13%,Healthcare,California,CARLSBAD,ionis pharmaceuticals
1030,IOVANCE BIOTHERAPEUTICS INC.,,7,1,14%,,,NEW YORK,iovance biotherapeutics
1031,IPG PHOTONICS CORP,,10,1,10%,Technology,Massachusetts,OXFORD,ipg photonics
1032,Iridium Communications Inc.,,12,1,8%,Communication Services,Virginia,MCLEAN,iridiummmunications
1033,IROBOT CORP,,8,3,38%,Technology,Massachusetts,BEDFORD,irobot
1034,IRON MOUNTAIN INC,,12,3,25%,Industrials,Massachusetts,BOSTON,iron mountain
1035,IRONWOOD PHARMACEUTICALS INC,,9,3,33%,Healthcare,Massachusetts,CAMBRIDGE,ironwood pharmaceuticals
1036,ISRAMCO INC,,6,0,0%,,,HOUSTON,isramco
1037,ISTAR INC.,,6,2,33%,,,NEW YORK,istar
1038,ITC Holdings Corp.,,9,1,11%,Utilities,Michigan,Novi,itc holdings
1039,ITERIS INC.,,6,0,0%,,,SANTA ANA,iteris
1040,ITRON INC /WA/,,11,3,27%,Technology,Washington,LIBERTY LAKE,itron wa
1041,ITT Educational Services Inc.,,8,1,13%,Consumer Defensive,Indiana,Carmel,itt educational services
1042,ITT Inc.,,10,3,30%,Industrials,New York,WHITE PLAINS,itt
1043,Ixia,,6,2,33%,Technology,California,Calabasas,ixia
1044,IXYS CORP /DE/,,8,0,0%,Technology,California,MILPITAS,ixys
1045,J C PENNEY CO INC,,11,3,27%,Consumer Cyclical,Texas,PLANO,j c penney
1046,J M SMUCKER Co,,13,5,38%,Consumer Defensive,Ohio,ORRVILLE,j m smucker
1047,J&J SNACK FOODS CORP,,5,0,0%,,,PENNSAUKEN,jj snack foods
1048,J. Alexander's Holdings Inc.,,6,0,0%,,,NASHVILLE,j alexanders holdings
1049,J. Crew Group Inc.,,6,1,17%,Consumer Cyclical,New York,New York,j crew group
1050,J.Jill Inc.,,8,3,38%,,,QUINCY,jjill
1051,J2 GLOBAL INC.,,6,0,0%,Technology,California,LOS ANGELES,j2 global
1052,JABIL INC,,9,2,22%,Technology,Florida,ST. PETERSBURG,jabil
1053,JACK IN THE BOX INC /NEW/,,8,2,25%,Consumer Cyclical,California,SAN DIEGO,jack in the box new
1054,JACOBS ENGINEERING GROUP INC /DE/,,9,2,22%,Industrials,California,DALLAS,jacobs engineering group
1055,Jagged Peak Energy Inc.,,9,0,0%,,,DENVER,jagged peak energy
1056,JAKKS Pacific Inc.,,5,0,0%,Consumer Cyclical,California,Santa Monica,jakks pacific
1057,Jamba Inc.,,7,1,14%,Consumer Cyclical,California,Emeryville,jamba
1058,James River Group Holdings Ltd.,,8,1,13%,,,PEMBROKE,james river group holdings
1059,Janus Capital Group Inc.,,10,2,20%,Financial Services,Colorado,Denver,janus capital group
1060,Jefferies Group LLC,,7,1,14%,Financial Services,New York,New York,jefferies group llc
1061,JELD-WEN Holding Inc.,,10,1,10%,,,CHARLOTTE,jeldwen holding
1062,JETBLUE AIRWAYS CORP,,10,2,20%,Industrials,New York,LONG ISLAND CITY,jetblue airways
1063,Jive Software Inc.,,9,3,33%,Technology,California,Palo Alto,jive software
1064,John Bean Technologies Corporation,,7,2,29%,,,CHICAGO,john bean technologies
1065,John Wiley and Sons Inc.,,13,3,23%,Consumer Cyclical,New Jersey,Hoboken,john wiley and sons
1066,Johnson & Johnson,,10,2,20%,Healthcare,New Jersey,NEW BRUNSWICK,johnson  johnson
1067,Johnson Controls International plc,,11,1,9%,Consumer Cyclical,Wisconsin,CORK,johnsonntrols international plc
1068,JOHNSON OUTDOORS INC,,8,2,25%,,,RACINE,johnson outdoors
1069,Jones Energy Inc.,,7,0,0%,,,AUSTIN,jones energy
1070,JONES LANG LASALLE INC,,10,4,40%,Real Estate,Illinois,CHICAGO,jones lang lasalle
1071,Jounce Therapeutics Inc.,,7,1,14%,,,CAMBRIDGE,jounce therapeutics
1072,Joy Global Inc.,,9,0,0%,Industrials,Wisconsin,Milwaukee,joy global
1073,JPMORGAN CHASE & CO,,12,2,17%,Financial Services,New York,NEW YORK,jpmorgan chase 
1074,JUNIPER NETWORKS INC,,9,1,11%,Technology,California,SUNNYVALE,juniper networks
1075,Juno Therapeutics Inc.,,9,1,11%,,,SEATTLE,juno therapeutics
1076,K12 INC,,9,1,11%,Consumer Defensive,Virginia,HERNDON,k12
1077,K2M GROUP HOLDINGS INC.,,8,0,0%,,,LEESBURG,k2m group holdings
1078,KADANT INC,,5,0,0%,Industrials,Massachusetts,WESTFORD,kadant
1079,KAISER ALUMINUM CORP,,10,3,30%,Basic Materials,California,FOOTHILL RANCH,kaiser aluminum
1080,KAMAN CORP,,10,2,20%,,,BLOOMFIELD,kaman
1081,KANSAS CITY SOUTHERN,,8,1,13%,Industrials,Missouri,KANSAS CITY,kansas city southern
1082,KAPSTONE PAPER & PACKAGING CORP,,12,1,8%,Basic Materials,Illinois,NORTHBROOK,kapstone paper  packaging
1083,KAR Auction Services Inc.,,9,2,22%,Consumer Cyclical,Indiana,CARMEL,kar auction services
1084,Karyopharm Therapeutics Inc.,,8,1,13%,,,NEWTON,karyopharm therapeutics
1085,Kate Spade & Co,,11,4,36%,Consumer Cyclical,New York,NEW YORK,kate spade 
1086,KB HOME,,9,1,11%,Consumer Cyclical,California,LOS ANGELES,kb home
1087,KBR INC.,,10,2,20%,Industrials,Texas,HOUSTON,kbr
1088,KCG Holdings Inc.,,11,3,27%,,,NEW YORK,kcg holdings
1089,Keane Group Inc.,,11,1,9%,,,HOUSTON,keane group
1090,KEARNY FINANCIAL CORP.,,11,0,0%,,,FAIRFIELD,kearny financial
1091,KELLOGG CO,,12,5,42%,Consumer Defensive,Michigan,BATTLE CREEK,kellogg
1092,KELLY SERVICES INC,,9,3,33%,Industrials,Michigan,TROY,kelly services
1093,KEMET CORP,,9,1,11%,,,SIMPSONVILLE,kemet
1094,KEMPER Corp,,9,1,11%,Financial Services,Illinois,CHICAGO,kemper
1095,KENNAMETAL INC,,9,1,11%,Industrials,Pennsylvania,PITTSBURGH,kennametal
1096,Kennedy-Wilson Holdings Inc.,,7,1,14%,Real Estate,California,BEVERLY HILLS,kennedywilson holdings
1097,KERYX BIOPHARMACEUTICALS INC,,8,1,13%,,,BOSTON,keryx biopharmaceuticals
1098,Key Energy Services Inc.,,10,1,10%,Energy,Texas,Houston,key energy services
1099,KEYCORP /NEW/,,16,5,31%,Financial Services,Ohio,CLEVELAND,keycorp new
1100,Keynetics Inc.,,5,1,20%,Technology,Idaho,Boise,keynetics
1101,Keysight Technologies Inc.,,8,1,13%,Technology,California,SANTA ROSA,keysight technologies
1102,KEYW HOLDING CORP,,9,2,22%,,,HANOVER,keyw holding
1103,KFORCE INC,,11,2,18%,Industrials,Florida,TAMPA,kforce
1104,KILROY REALTY CORP,,6,1,17%,Real Estate,California,LOS ANGELES,kilroy realty
1105,Kimball Electronics Inc.,,7,2,29%,,,JASPER,kimball electronics
1106,KIMBALL INTERNATIONAL INC,,8,3,38%,,,JASPER,kimball international
1107,KIMBERLY CLARK CORP,,13,3,23%,Consumer Defensive,Texas,DALLAS,kimberly clark
1108,KIMCO REALTY CORP,,9,2,22%,Real Estate,New York,NEW HYDE PARK,kimco realty
1109,KINDER MORGAN INC.,,16,2,13%,Energy,Texas,HOUSTON,kinder morgan
1110,KINDRED HEALTHCARE INC,,11,3,27%,Healthcare,Kentucky,LOUISVILLE,kindred healthcare
1111,KIRBY CORP,,9,1,11%,Industrials,Texas,HOUSTON,kirby
1112,KIRKLAND'S INC,,7,1,14%,,,BRENTWOOD,kirklands
1113,Kite Pharma Inc.,,11,1,9%,,,SANTA MONICA,kite pharma
1114,KITE REALTY GROUP TRUST,,9,1,11%,,,INDIANAPOLIS,kite realty group trust
1115,KKR & Co. LP,,8,1,13%,Financial Services,New York,New York,kkr  lp
1116,KKR Real Estate Finance Trust Inc.,,6,1,17%,,,NEW YORK,kkr real estate finance trust
1117,KLA TENCOR CORP,,10,1,10%,Technology,California,MILPITAS,kla tencor
1118,KLONDEX MINES LTD,,8,0,0%,,,RENO,klondex mines
1119,KLX Inc.,,8,0,0%,,,WELLINGTON,klx
1120,KMG CHEMICALS INC,,7,1,14%,,,FORT WORTH,kmg chemicals
1121,KNIGHT TRANSPORTATION INC,,10,2,20%,,,PHOENIX,knight transportation
1122,Knights of Columbus,,6,0,0%,Financial Services,Connecticut,New Haven,knights oflumbus
1123,KNOLL INC,,10,3,30%,Industrials,Pennsylvania,EAST GREENVILLE,knoll
1124,Knowles Corp,,8,0,0%,,,ITASCA,knowles
1125,KOHLS Corp,,10,3,30%,Consumer Cyclical,Wisconsin,MENOMONEE FALLS,kohls
1126,KOPIN CORP,,7,0,0%,Technology,Massachusetts,WESTBOROUGH,kopin
1127,Koppers Holdings Inc.,,8,2,25%,,,PITTSBURGH,koppers holdings
1128,KORN FERRY INTERNATIONAL,,7,2,29%,Industrials,California,LOS ANGELES,korn ferry international
1129,Kosmos Energy Ltd.,,11,0,0%,Energy,,HAMILTON,kosmos energy
1130,Kraft Heinz Co,,11,2,18%,Consumer Defensive,Pennsylvania,PITTSBURGH,kraft heinz
1131,Kraton Corp,,8,2,25%,,,HOUSTON,kraton
1132,KRATOS DEFENSE & SECURITY SOLUTIONS INC.,,8,2,25%,Industrials,California,SAN DIEGO,kratos defense  security solutions
1133,KROGER CO,,11,3,27%,Consumer Defensive,Ohio,CINCINNATI,kroger
1134,KRONOS WORLDWIDE INC,,8,1,13%,Basic Materials,Texas,DALLAS,kronos worldwide
1135,KVH INDUSTRIES INC \DE\,,6,0,0%,,,MIDDLETOWN,kvh industries de
1136,L Brands Inc.,,12,3,25%,Consumer Cyclical,Ohio,COLUMBUS,l brands
1137,L'Oreal Group,,15,7,47%,Consumer Defensive,,Clichy Cedex,loreal group
1138,L3 TECHNOLOGIES INC,,10,1,10%,Industrials,New York,NEW YORK,l3 technologies
1139,LA JOLLA PHARMACEUTICAL CO,,5,1,20%,,,SAN DIEGO,la jolla pharmaceutical
1140,La Quinta Holdings Inc.,,10,0,0%,,,IRVING,la quinta holdings
1141,LA-Z-BOY INC,,9,3,33%,,,MONROE,lazboy
1142,LABORATORY CORP OF AMERICA HOLDINGS,,10,2,20%,Healthcare,North Carolina,BURLINGTON,laboratory of america holdings
1143,Ladder Capital Corp,,6,0,0%,,,NEW YORK,ladder capital
1144,LADENBURG THALMANN FINANCIAL SERVICES INC,,10,1,10%,Financial Services,Florida,MIAMI,ladenburg thalmann financial services
1145,LAKELAND BANCORP INC,,13,2,15%,,,OAK RIDGE,lakeland bancorp
1146,LAKELAND FINANCIAL CORP,,12,1,8%,,,WARSAW,lakeland financial
1147,LAM RESEARCH CORP,,11,2,18%,Technology,California,FREMONT,lam research
1148,LAMAR ADVERTISING CO/NEW,,7,1,14%,Real Estate,Louisiana,BATON ROUGE,lamar advertisingnew
1149,LANCASTER COLONY CORP,,9,1,11%,,,COLUMBUS,lancasterlony
1150,Land O'Lakes Inc.,,24,1,4%,Consumer Defensive,Minnesota,Arden Hills,land olakes
1151,LANDAUER INC,,10,1,10%,,,GLENWOOD,landauer
1152,LANDEC CORP \CA\,,8,3,38%,,,MENLO PARK,landec ca
1153,LANDS' END INC.,,8,2,25%,,,DODGEVILLE,lands end
1154,LANDSTAR SYSTEM INC,,7,2,29%,Industrials,Florida,JACKSONVILLE,landstar system
1155,LANNETT CO INC,,6,0,0%,,,PHILADELPHIA,lannett
1156,Lantheus Holdings Inc.,,9,2,22%,,,NORTH BILLERICA,lantheus holdings
1157,Laredo Petroleum Inc.,,8,1,13%,,,TULSA,laredo petroleum
1158,LAS VEGAS SANDS CORP,,11,1,9%,Consumer Cyclical,Nevada,LAS VEGAS,las vegas sands
1159,LaSalle Hotel Properties,,7,1,14%,Real Estate,Maryland,BETHESDA,lasalle hotel properties
1160,LATTICE SEMICONDUCTOR CORP,,8,1,13%,,,PORTLAND,lattice semiconductor
1161,LAUREATE EDUCATION INC.,,11,1,9%,,,BALTIMORE,laureate education
1162,LAWSON PRODUCTS INC/NEW/DE/,,9,1,11%,,,CHICAGO,lawson productsnewde
1163,LAYNE CHRISTENSEN CO,,7,0,0%,,,THE WOODLANDS,layne christensen
1164,Lazard Ltd,,10,3,30%,Financial Services,,HAMILTON,lazard
1165,LCI INDUSTRIES,,9,0,0%,,,ELKHART,lci industries
1166,LCNB CORP,,8,2,25%,,,LEBANON,lcnb
1167,LEAF GROUP LTD.,,9,1,11%,,,SANTA MONICA,leaf group
1168,LeapFrog Enterprises Inc.,,7,0,0%,Consumer Cyclical,California,Emeryville,leapfrog enterprises
1169,LEAR CORP,,10,2,20%,Consumer Cyclical,Michigan,SOUTHFIELD,lear
1170,Learning Tree International Inc.,,7,1,14%,Consumer Defensive,Virginia,Reston,learning tree international
1171,LegacyTexas Financial Group Inc.,,8,2,25%,,,PLANO,legacytexas financial group
1172,LEGG MASON INC.,,10,1,10%,Financial Services,Maryland,BALTIMORE,legg mason
1173,LEGGETT & PLATT INC,,9,2,22%,Consumer Cyclical,Missouri,CARTHAGE,leggett  platt
1174,Leidos Holdings Inc.,,13,3,23%,Technology,Virginia,RESTON,leidos holdings
1175,LEMAITRE VASCULAR INC,,7,0,0%,,,BURLINGTON,lemaitre vascular
1176,LendingClub Corp,,9,1,11%,,,SAN FRANCISCO,lendingclub
1177,LendingTree Inc.,,9,2,22%,,,CHARLOTTE,lendingtree
1178,LENNAR CORP /NEW/,,10,2,20%,Consumer Cyclical,Florida,MIAMI,lennar new
1179,LENNOX INTERNATIONAL INC,,10,3,30%,Industrials,Texas,RICHARDSON,lennox international
1180,LEUCADIA NATIONAL CORP,,11,1,9%,Consumer Defensive,New York,NEW YORK,leucadia national
1181,LEVEL 3 COMMUNICATIONS INC,,11,1,9%,Communication Services,Colorado,BROOMFIELD,level 3mmunications
1182,Levi Strauss & Co.,,11,4,36%,Consumer Cyclical,California,San Francisco,levi strauss 
1183,LEXICON PHARMACEUTICALS INC./DE,,9,1,11%,,,THE WOODLANDS,lexicon pharmaceuticalsde
1184,LEXINGTON REALTY TRUST,,7,2,29%,,,NEW YORK,lexington realty trust
1185,Lexmark International Inc.,,12,2,17%,Technology,Kentucky,Lexington,lexmark international
1186,LGI Homes Inc.,,6,0,0%,,,THE WOODLANDS,lgi homes
1187,LHC Group Inc,,10,1,10%,Healthcare,Louisiana,LAFAYETTE,lhc group
1188,LIBBEY INC,,8,4,50%,,,TOLEDO,libbey
1189,Liberty Broadband Corp,,5,0,0%,,,ENGLEWOOD,liberty broadband
1190,Liberty Global PLC,,12,1,8%,Communication Services,,London W6 8BS,liberty global plc
1191,Liberty Interactive Corp,,11,1,9%,Consumer Cyclical,Colorado,ENGLEWOOD,liberty interactive
1192,Liberty Media Corp,,9,1,11%,Consumer Cyclical,Colorado,ENGLEWOOD,liberty media
1193,Liberty Mutual Holding Company Inc.,,12,4,33%,Financial Services,Massachusetts,Boston,liberty mutual holdingmpany
1194,LIBERTY PROPERTY TRUST,,9,2,22%,Real Estate,Pennsylvania,MALVERN,liberty property trust
1195,Liberty Tax Inc.,,9,1,11%,Consumer Cyclical,Virginia,VIRGINIA BEACH,liberty tax
1196,Liberty TripAdvisor Holdings Inc.,,6,0,0%,,,ENGLEWOOD,liberty tripadvisor holdings
1197,LIFE STORAGE INC.,,6,0,0%,,,BUFFALO,life storage
1198,LifeLock Inc,,8,2,25%,Technology,Arizona,Tempe,lifelock
1199,LIFEPOINT HEALTH INC.,,8,2,25%,Healthcare,Tennessee,BRENTWOOD,lifepoint health
1200,LIFETIME BRANDS INC,,10,2,20%,,,GARDEN CITY,lifetime brands
1201,LIFEWAY FOODS INC,,7,2,29%,,,MORTON GROVE,lifeway foods
1202,LIGAND PHARMACEUTICALS INC,,7,0,0%,Healthcare,California,SAN DIEGO,ligand pharmaceuticals
1203,Lightbridge Corporation,,6,1,17%,Basic Materials,Virginia,McLean,lightbridge
1204,LILIS ENERGY INC.,,6,0,0%,,,SAN ANTONIO,lilis energy
1205,LILLY ELI & CO,,14,4,29%,Healthcare,Indiana,INDIANAPOLIS,lilly eli 
1206,Limelight Networks Inc.,,7,0,0%,,,TEMPE,limelight networks
1207,Limoneira CO,,9,1,11%,Consumer Defensive,California,SANTA PAULA,limoneira
1208,LINCOLN ELECTRIC HOLDINGS INC,,11,2,18%,Industrials,Ohio,CLEVELAND,lincoln electric holdings
1209,LINCOLN NATIONAL CORP,,10,2,20%,Financial Services,Pennsylvania,RADNOR,lincoln national
1210,LINDBLAD EXPEDITIONS HOLDINGS INC.,,7,1,14%,,,NEW YORK CITY,lindblad expeditions holdings
1211,LINDSAY CORP,,8,0,0%,,,OMAHA,lindsay
1212,Linear Technology Corporation,,7,0,0%,Technology,California,Milpitas,linear technology
1213,LinkedIn Corporation,,7,1,14%,Technology,California,Mountain View,linkedin
1214,Linn Energy LLC,,6,0,0%,Energy,Texas,Houston,linn energy llc
1215,Lionbridge Technologies Inc.,,9,1,11%,Industrials,Massachusetts,Waltham,lionbridge technologies
1216,LIONS GATE ENTERTAINMENT CORP /CN/,,13,1,8%,Consumer Cyclical,British Columbia,SANTA MONICA,lions gate entertainment cn
1217,LIQUIDITY SERVICES INC,,7,1,14%,Consumer Cyclical,District of Columbia,WASHINGTON,liquidity services
1218,LITHIA MOTORS INC,,6,1,17%,Consumer Cyclical,Oregon,MEDFORD,lithia motors
1219,LITTELFUSE INC /DE,,8,0,0%,,,CHICAGO,littelfuse de
1220,Live Nation Entertainment Inc.,,12,1,8%,Consumer Cyclical,California,BEVERLY HILLS,live nation entertainment
1221,Live Oak Bancshares Inc.,,10,1,10%,,,WILMINGTON,live oak bancshares
1222,LIVEPERSON INC,,6,1,17%,,,NEW YORK,liveperson
1223,LKQ CORP,,10,1,10%,Consumer Cyclical,Illinois,CHICAGO,lkq
1224,LMI AEROSPACE INC,,9,1,11%,,,ST. CHARLES,lmi aerospace
1225,LOCKHEED MARTIN CORP,,12,4,33%,Industrials,Maryland,BETHESDA,lockheed martin
1226,LOEWS CORP,,14,1,7%,Financial Services,New York,NEW YORK,loews
1227,LogMeIn Inc.,,9,0,0%,,,BOSTON,logmein
1228,LORAL SPACE & COMMUNICATIONS INC.,,6,1,17%,,,NEW YORK,loral space mmunications
1229,LOUISIANA-PACIFIC CORP,,7,2,29%,Basic Materials,Tennessee,NASHVILLE,louisianapacific
1230,LOWES COMPANIES INC,,11,3,27%,Consumer Cyclical,North Carolina,MOORESVILLE,lowesmpanies
1231,Loxo Oncology Inc.,,9,1,11%,,,STAMFORD,loxo oncology
1232,LPL Financial Holdings Inc.,,9,2,22%,Financial Services,Massachusetts,BOSTON,lpl financial holdings
1233,LSB INDUSTRIES INC,,11,1,9%,,,OKLAHOMA CITY,lsb industries
1234,LSC COMMUNICATIONS INC.,,9,3,33%,,,CHICAGO,lscmmunications
1235,LSI INDUSTRIES INC,,7,0,0%,,,CINCINNATI,lsi industries
1236,LTC PROPERTIES INC,,5,2,40%,Real Estate,California,WESTLAKE VILLAGE,ltc properties
1237,lululemon athletica inc.,,10,3,30%,,,VANCOUVER,lululemon athletica
1238,Lumber Liquidators Holdings Inc.,,7,1,14%,Consumer Cyclical,Virginia,TOANO,lumber liquidators holdings
1239,Lumentum Holdings Inc.,,6,1,17%,,,MILPITAS,lumentum holdings
1240,LUMINEX CORP,,8,0,0%,,,AUSTIN,luminex
1241,Lumos Networks Corp.,,9,0,0%,Communication Services,Virginia,WAYNESBORO,lumos networks
1242,Luna Innovations Inc.,,6,0,0%,Technology,Virginia,Roanoke,luna innovations
1243,LYDALL INC /DE/,,8,2,25%,,,MANCHESTER,lydall
1244,LyondellBasell Industries N.V.,,11,3,27%,Basic Materials,,LONDON,lyondellbasell industries nv
1245,M I HOMES INC,,9,2,22%,,,COLUMBUS,m i homes
1246,M&T BANK CORP,,14,2,14%,Financial Services,New York,BUFFALO,mt bank
1247,MACATAWA BANK CORP,,10,1,10%,,,HOLLAND,macatawa bank
1248,MACERICH CO,,10,2,20%,Real Estate,California,SANTA MONICA,macerich
1249,MACK CALI REALTY CORP,,9,1,11%,Real Estate,New Jersey,JERSEY CITY,mack cali realty
1250,MACOM Technology Solutions Holdings Inc.,,7,1,14%,Technology,Massachusetts,LOWELL,macom technology solutions holdings
1251,Macquarie Infrastructure Corp,,6,1,17%,,,NEW YORK,macquarie infrastructure
1252,MACROGENICS INC,,8,1,13%,,,ROCKVILLE,macrogenics
1253,Macy's Inc.,,12,6,50%,Consumer Cyclical,Ohio,CINCINNATI,macys
